KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Exeter - Hawthorn House
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Truro - Victoria Wharf
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Sandy - Tempsford Hall
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Witham - Stepfield
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Norwich - Mason Road
Construction and Infrastructure,Build UK,Build London,Build London,Loughton - Langston Road
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Bristol - The Old Mill
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Cardiff - Conway House
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Aylesford - Broadmead House
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Maple Cross - Maple Lodge Close
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Cambridge - Building 3000
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Rushden - Marriott House
Construction and Infrastructure,Construction,Build Strategic Alliances,Build Strategic Alliances,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Norwich - Trowse
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Sandy - Tempsford Hall
Centre,Group Centre,Fleet,Kier Fleet Services Ltd,Sandy - Lysander House
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Lincoln - Enterprise House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Sellafield -BEPPS and DIF
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Sandy - Tempsford Hall
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Sandy - Tempsford Hall
Construction and Infrastructure,Build UK,Build KME,Build KME,Basingstoke - Basing View
Construction and Infrastructure,Build UK,Build Northern, Liverpool,Liverpool - Kier House
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Cardiff - Conway House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Basingstoke - Southern Cross
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Sandy - Tempsford Hall
Construction and Infrastructure,Infrastructure and Utilities,Mining,Mining UK,New Cumnock - Greenburn
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Crawley - Platinum House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Fusion
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Cambridge - Waterbeach
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - CBC Abcam Project
Construction and Infrastructure,Build UK,Build Central,Build Central,Cheltenham - Central House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Birmingham – HS2 Contract C2
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Luton - MPT
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Bridgwater - Hinkley
Construction and Infrastructure,Build UK,Build Central,Build Central,Solihull - Tungsten Building
Development Property and Business Services,Living,Living Eastern,Living Eastern,Sandy - Lysander House
Strategy,Strategy Centre,Strategy Centre,Strategy Centre,London - Foley Street
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Castlepoint Bournemouth
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Cheltenham - Central House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Cardiff - Conway House
Construction and Infrastructure,Build UK,Build Northern, Leeds,Leeds - Thorpe Park
Development Property and Business Services,Living,Living Centre,Living Centre,Sandy - Tempsford Hall
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Newcastle - Hebburn
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Newcastle - Killingworth
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Southampton - Turnpike House
Construction and Infrastructure,Build UK,Build Central,Build Central,Newbury - Mulberry House
Construction and Infrastructure,International,International Centre,International Payroll,St Kitts - Banana Bay
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,London - C435 Crossrail (Farringdon)
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Cardiff - Conway House
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - Downing Street
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Bristol - The Old Mill
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Brighton - Jubilee Library
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Solihull - Tungsten Building
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,Facilities Management,Business Assurance,Cardiff - Conway House
Construction and Infrastructure,Build UK,Build Northern, Liverpool,Manchester - Trafford Park
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Liverpool - Kier House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Godstone - M20/M23 Tranche 3
Construction and Infrastructure,Build UK,Build Central,Build Central,Nottingham - Marriott House
Construction and Infrastructure,Infrastructure and Utilities,Thames Water,KCD Recharges,Reading - Clearwater Court
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Walsall - M6 Tranche 2
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Sheffield - Smithywood
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Cardiff - L&G
